Term,Subject,Course,CRN,Section,Start Time,End Time,Days,Building,Room,Primary Instructor(s),Additional Instructor(s),Enrollment Actual,Enrollment Maximum,Enrollment Seats Available,Waitlist Capacity,Waitlist Actual,Waitlist Seats Available,Building Code,Room Capacity,Utilization
Fall 2025,CS,CS 2340,91798,FAB,15:30,16:45,T,Howey Physics,L4,Pedroguillermo Feijoogarcia,,0,0,0,0,0,0,81,268.0,0.0
Fall 2025,CS,CS 2340,91799,FAC,15:30,16:45,R,Howey Physics,L4,Pedroguillermo Feijoogarcia,,0,0,0,0,0,0,81,268.0,0.0
Fall 2025,CS,CS 2340,91800,FAD,14:00,15:15,WF,Howey Physics,L4,Nimisha Roy,,0,0,0,0,0,0,81,268.0,0.0
Fall 2025,CS,CS 2340,85348,GR,14:00,15:15,WF,Howey Physics,L4,Nimisha Roy,,0,0,0,0,0,0,81,268.0,0.0
Fall 2025,CS,CS 4010,89983,A,11:00,12:15,TR,College of Computing,52,Olufisayo Omojokun,Laura Huffman,18,25,7,20,0,20,50,40.0,0.45
Fall 2025,CS,CS 4010,90208,HP,11:00,12:15,TR,College of Computing,52,Olufisayo Omojokun,Laura Huffman,1,10,9,5,0,5,50,40.0,0.025
Fall 2025,CS,CS 4210,82126,A,11:00,12:15,MW,Instructional Center,111,Ada Gavrilovska,,20,20,0,50,28,22,55,116.0,0.1724137931034483
Fall 2025,CS,CS 4220,86828,A,12:30,13:45,TR,Success Center,152,Calton Pu,,30,30,0,50,14,36,,,
Fall 2025,CS,CS 4239,90464,A,12:30,13:45,MW,Instructional Center,103,Jerry Perullo,,20,20,0,20,20,0,55,300.0,0.06666666666666667
Fall 2025,CS,CS 4240,93913,A,09:30,10:45,MW,Scheller College of Business,200,Qirun Zhang,,90,90,0,50,50,0,172,125.0,0.72
Fall 2025,CS,CS 4251,88096,A,09:30,10:45,TR,Howey Physics,L3,Cecilia Testart,,40,40,0,50,38,12,81,153.0,0.26143790849673204
Fall 2025,CS,CS 4261,82351,A,12:30,13:45,MW,Instructional Center,115,Matthew Sanders,,45,45,0,75,74,1,55,80.0,0.5625
